NumEstacao,NomeEntidade,EnderecoEstacao,SiglaUf,CodMunicipio,NomeMunicipio,Latitude,Longitude,2G,3G,4G,5G
687509920,CLARO,AV GOVERNADOR MAGALHÃES PINTO S/N DE FRENTE COM A RUA FRANCISCO DE CARVALHO,MG,3122306,Divinópolis,20S0828,44W5248,SIM,SIM,SIM,
687510040,CLARO,R MG 050 KM 96 FABRICA DA COFEBE,MG,3122306,Divinópolis,20S0930,44W5518,SIM,SIM,SIM,
687513677,CLARO,R PROFESSOR JAHEL CORREA BRANDÃO 103,MG,3122306,Divinópolis,20S0914,44W5325,SIM,SIM,SIM,
687514029,CLARO,AV PARANÁ 1960 PROXIMO A RUA CAMPO BELO,MG,3122306,Divinópolis,20S0958,44W5427,SIM,SIM,SIM,
687516552,CLARO,R INTERLAGOS 1636,MG,3122306,Divinópolis,20S0749,44W5148,SIM,SIM,SIM,
687541930,CLARO,R MANAUS S/N ESQ. RUA RAIMUNDO FERREIRA DA SILVA,MG,3122306,Divinópolis,20S1000,44W5242,SIM,SIM,SIM,
687543665,CLARO,R FRANCISCO CÂNDIDO DE JESUS S/N ESQUINA COM A RUA BOGOTA,MG,3122306,Divinópolis,20S1040,44W5355,SIM,SIM,SIM,
687615011,CLARO,AV SILVA MELO 690,MG,3122306,Divinópolis,20S0718,44W5114,SIM,SIM,SIM,
687684480,TIM,Rua Almirante Tamandaré 352,MG,3122306,Divinópolis,20S0917,44W5405,SIM,SIM,SIM,SIM
688125115,VIVO,RUA ALMIRANTE TAMANDARE S/N,MG,3122306,Divinópolis,20S0915,44W5406,SIM,SIM,SIM,
688125182,VIVO,RUA JOÃO PEREIRA NETO S/N,MG,3122306,Divinópolis,20S0741,44W5426,SIM,SIM,SIM,SIM
688313000,CLARO,R JOÃO MARTINS COELHO KM 07 FAZENDA FUMAL,MG,3122306,Divinópolis,20S0626,44W5759,SIM,SIM,SIM,
689376286,TIM,Rua João Martins Coelho S/N Km 7,MG,3122306,Divinópolis,20S0627,44W5759,SIM,SIM,SIM,
689412746,TIM,Rua Beira Alta S/N MORRO DA LAJINHA,MG,3122306,Divinópolis,20S0852,44W5147,SIM,SIM,SIM,SIM
689725370,VIVO,RUA JOAO MORATO DE FARIA 172,MG,3122306,Divinópolis,20S0851,44W5327,SIM,SIM,SIM,SIM
689793260,TIM,Morro Da Caixa D'Água S/N,MG,3122306,Divinópolis,20S0742,44W5427,SIM,SIM,SIM,SIM
689850158,VIVO,RUA MOACIR JOSE LEITE 100,MG,3122306,Divinópolis,20S0737,44W5254,SIM,SIM,SIM,SIM
689986246,VIVO,RODOVIA JOÃO MARTINS COELHO KM 7 - FAZENDA FUMA S/N,MG,3122306,Divinópolis,20S0627,44W5757,SIM,SIM,SIM,
690648677,VIVO,RUA CHUMBO S/N,MG,3122306,Divinópolis,20S0852,44W5227,SIM,SIM,SIM,
692558918,CLARO,RUA FREI CARLOS 311,MG,3122306,Divinópolis,20S0755,44W5311,,SIM,SIM,
692605797,CLARO,R GOIÁS 1343,MG,3122306,Divinópolis,20S0837,44W5353,,SIM,SIM,
692806440,VIVO,RUA CASTRO ALVES 2010,MG,3122306,Divinópolis,20S0951,44W5420,SIM,SIM,SIM,
